2001-08-26 & B     & 2.11 & +0.00$\pm$0.00 &  44 &  15 &   89$\pm$ 55 &  -41$\pm$ 57 &   14$\pm$ 41 &  -22$\pm$ 57 \\ 
2002-07-15 & Clear & 6.11 & +0.00$\pm$0.00 &  57 &  17 &   51$\pm$163 &   85$\pm$ 90 &  -36$\pm$ 31 &  131$\pm$ 76 \\ 
2002-07-18 & CLEAR & 3.86 & +0.00$\pm$0.00 &  30 &  13 & -100$\pm$115 & -140$\pm$ 61 &  -50$\pm$ 61 & -111$\pm$ 61 \\ 
2003-07-22 & Clear & 2.38 & +0.00$\pm$0.00 &  20 &  15 &  174$\pm$137 &  -75$\pm$ 80 &  -32$\pm$ 57 &  -13$\pm$ 74 \\ 
2003-07-23 & Clear & 4.08 & +0.00$\pm$0.00 &  39 &  16 &  -81$\pm$ 36 &   13$\pm$ 55 &  -78$\pm$ 34 &   17$\pm$ 55 \\ 
2003-07-25 & Clear & 6.19 & +0.00$\pm$0.00 &  21 &   9 & -107$\pm$ 74 &    9$\pm$ 62 & -106$\pm$ 74 &    7$\pm$ 62 \\ 
2003-07-26 & Clear & 6.97 & +0.00$\pm$0.00 &  17 &  10 & -132$\pm$211 &    8$\pm$123 & -129$\pm$211 &    7$\pm$124 \\ 
2003-07-27 & Clear & 1.54 & +0.00$\pm$0.00 &  26 &  14 &  -21$\pm$104 &    4$\pm$ 84 &  -90$\pm$102 &   24$\pm$ 84 \\ 
2003-07-28 & Clear & 7.98 & +0.00$\pm$0.00 &  43 &  12 &  -37$\pm$144 &   21$\pm$162 &  -44$\pm$144 &   24$\pm$162 \\ 
2003-08-20 & CLEAR & 4.03 & +0.00$\pm$0.00 &  30 &  17 &   95$\pm$154 &  -72$\pm$ 66 &   18$\pm$ 98 &  -35$\pm$ 60 \\ 
2003-10-14 & V     & 2.33 & +0.00$\pm$0.00 &   8 &  30 &   20$\pm$ 25 &   16$\pm$ 31 &   16$\pm$ 25 &   18$\pm$ 31 \\ 
