 18 58 49.9869 -22 31 07.777   39   26 2450258.64486111 19.8 C  PE 874
 18 58 49.8719 -22 31 07.787   39   26 2450258.64883102 19.6 C  PE 874
 01 56 55.6191 +10 37 51.016   97   79 2451462.52513229 19.3 R  OH 511
 01 56 54.6068 +10 37 46.721   97   79 2451462.55286782 18.7 R  OH 511
 01 56 54.4347 +10 37 45.992   97   79 2451462.55800208 19.6 R  OH 511
 01 56 54.2485 +10 37 45.202   97   79 2451462.56314028 19.6 R  OH 511
 01 56 54.0679 +10 37 44.591   97   79 2451462.56827847 19.3 R  OH 511
 01 39 41.1514 +09 19 25.314   90   84 2451493.40137674 19.1 R  OH 511
 01 39 40.9804 +09 19 24.444   90   84 2451493.40785255 19.5 R  OH 511
 01 39 40.7693 +09 19 23.483   90   84 2451493.41458762 19.5 R  OH 511
 01 39 40.3944 +09 19 21.567   90   84 2451493.42806852 20.2 R  OH 511
 01 39 40.0034 +09 19 19.678   90   84 2451493.44171817 19.2 R  OH 511
 01 39 39.8375 +09 19 18.961   90   84 2451493.44729873 19.4 R  OH 511
 01 39 39.6888 +09 19 18.280   90   84 2451493.45288530 18.3 R  OH 511
 01 39 39.5283 +09 19 17.511   90   84 2451493.45846817 19.3 R  OH 511
 01 32 57.4458 +08 46 16.670   59   95 2451512.33279676 19.8 R  OH 511
 01 32 57.3568 +08 46 16.171   59   95 2451512.33838275 19.6 R  OH 511
 01 32 57.2762 +08 46 15.863   59   95 2451512.34396100 20.3 R  OH 511
 01 32 57.1913 +08 46 15.401   59   95 2451512.34953692 20.2 R  OH 511
 01 32 56.8741 +08 46 13.685   59   95 2451512.37155359 20.0 R  OH 511
 01 32 56.7143 +08 46 13.005   59   95 2451512.38251331 20.0 R  OH 511
 01 32 56.6234 +08 46 12.439   59   95 2451512.38809120 19.9 R  OH 511
 01 32 56.4709 +08 46 11.876   59   95 2451512.39849144 19.7 R  OH 511
 01 32 56.3951 +08 46 11.389   59   95 2451512.40407836 20.0 R  OH 511
 01 32 56.3063 +08 46 10.975   59   95 2451512.40965706 19.9 R  OH 511
 01 32 44.3213 +08 45 09.831   34   60 2451513.29366389 19.8 R  OH 511
 01 32 44.2820 +08 45 09.633   34   60 2451513.29669016 20.1 R  OH 511
 01 32 44.1733 +08 45 08.983   34   60 2451513.30424271 19.8 R  OH 511
 01 32 44.0820 +08 45 08.731   34   60 2451513.31097917 19.6 R  OH 511
 01 32 43.9821 +08 45 08.133   34   60 2451513.31771910 19.3 R  OH 511
 01 32 43.8911 +08 45 07.649   34   60 2451513.32446435 19.3 R  OH 511
 01 32 43.7988 +08 45 07.230   34   60 2451513.33119896 19.9 R  OH 511
 01 32 43.7027 +08 45 06.848   34   60 2451513.33793542 19.9 R  OH 511
 01 32 43.6137 +08 45 06.345   34   60 2451513.34467535 19.4 R  OH 511
 01 32 42.0393 +08 44 58.720   34   60 2451513.45851921 20.1 R  OH 511
 01 32 41.9322 +08 44 58.152   34   60 2451513.46641262 19.8 R  OH 511
 01 32 31.1951 +08 44 03.177   76   73 2451514.31280058 20.0 R  OH 511
 01 32 31.0993 +08 44 02.739   76   73 2451514.31954595 18.7 R  OH 511
 01 32 31.0066 +08 44 02.203   76   73 2451514.32628206 20.1 R  OH 511
 01 32 30.1654 +08 43 58.072   76   73 2451514.39125104 20.4 R  OH 511
 01 32 18.8543 +08 43 00.134   44   54 2451515.33889421 19.6 R  OH 511
 01 32 18.7528 +08 42 59.580   44   54 2451515.34679306 20.4 R  OH 511
 01 32 18.6571 +08 42 59.214   44   54 2451515.35469502 19.8 R  OH 511
 01 32 18.5618 +08 42 58.679   44   54 2451515.36259236 19.9 R  OH 511
 01 32 18.4708 +08 42 58.312   44   54 2451515.37049329 19.8 R  OH 511
 01 31 31.3099 +08 38 54.351   89   50 2451520.37451921 19.9 R  OH 511
 01 31 31.2441 +08 38 53.979   89   50 2451520.38364954 20.0 R  OH 511
 01 31 31.1426 +08 38 53.509   89   50 2451520.39688090 19.4 R  OH 511
 01 31 31.0798 +08 38 53.235   89   50 2451520.40594317 19.6 R  OH 511
 01 31 30.7406 +08 38 51.558   89   50 2451520.44878889 19.4 R  OH 511
 19 31 06.8557 -21 23 15.225   19   18 2454621.82626131 19.0 RE E  809
 19 31 06.6410 -21 23 15.580   19   18 2454621.84082848 18.5 RE E  809
 19 18 02.3446 -21 56 12.220   46   56 2454656.76664294 19.8 I  PE 874
 19 18 02.2470 -21 56 12.490   46   56 2454656.76988472 19.8 I  PE 874
 19 18 02.0472 -21 56 12.948   46   56 2454656.77713970 19.3 I  PE 874
 19 18 01.9496 -21 56 13.323   46   56 2454656.78037037 19.5 I  PE 874
 21 57 13.8315 -13 31 28.470   42   49 2454973.82829289 18.8 RE E  809
 21 57 13.8500 -13 31 28.411   42   49 2454973.82945459 20.1 RE E  809
 21 57 13.8693 -13 31 28.357   42   49 2454973.83061247 20.2 RE E  809
 21 57 13.8882 -13 31 28.357   42   49 2454973.83177312 20.3 RE E  809
 21 57 13.9047 -13 31 28.254   42   49 2454973.83292533 20.3 RE E  809
 21 57 14.0905 -13 31 27.881   42   49 2454973.84461827 20.1 RE E  809
 21 57 14.1242 -13 31 27.814   42   49 2454973.84656987 20.2 RE E  809
 21 57 14.1572 -13 31 27.753   42   49 2454973.84850306 20.4 RE E  809
 21 57 14.1878 -13 31 27.665   42   49 2454973.85044239 20.0 RE E  809
 21 57 14.2163 -13 31 27.589   42   49 2454973.85230463 20.1 RE E  809
 21 57 14.2501 -13 31 27.525   42   49 2454973.85423852 20.3 RE E  809
 21 57 14.2804 -13 31 27.429   42   49 2454973.85611673 19.9 RE E  809
 21 57 14.3154 -13 31 27.360   42   49 2454973.85825214 20.1 RE E  809
 21 57 14.3595 -13 31 27.283   42   49 2454973.86085995 19.7 RE E  809
 21 57 14.3911 -13 31 27.201   42   49 2454973.86280657 19.6 RE E  809
 21 57 14.4219 -13 31 27.133   42   49 2454973.86474092 19.6 RE E  809
 21 57 14.4555 -13 31 27.068   42   49 2454973.86667956 19.7 RE E  809
 21 57 14.4841 -13 31 26.986   42   49 2454973.86854492 19.6 RE E  809
 21 57 14.5763 -13 31 26.764   42   49 2454973.87428731 19.8 RE E  809
 21 57 45.8749 -13 30 14.533   17   97 2454975.81946680 19.8 RE E  809
 21 57 45.9379 -13 30 14.348   17   97 2454975.82367466 20.1 RE E  809
 21 57 45.9521 -13 30 14.310   17   97 2454975.82480094 19.7 RE E  809
 21 57 45.9713 -13 30 14.270   17   97 2454975.82592872 18.9 RE E  809
 21 57 46.0250 -13 30 14.222   17   97 2454975.82960400 20.4 RE E  809
 21 57 46.0756 -13 30 14.084   17   97 2454975.83302856 19.8 RE E  809
 21 57 46.1148 -13 30 14.108   17   97 2454975.83557779 19.9 RE E  809
 21 57 46.1299 -13 30 14.030   17   97 2454975.83673787 20.1 RE E  809
 21 57 46.1654 -13 30 13.945   17   97 2454975.83904680 19.3 RE E  809
 21 57 46.1820 -13 30 13.903   17   97 2454975.84018153 18.2 RE E  809
 21 57 46.1980 -13 30 13.800   17   97 2454975.84134531 19.7 RE E  809
 21 57 46.2137 -13 30 13.738   17   97 2454975.84249590 19.4 RE E  809
 21 57 46.2467 -13 30 13.721   17   97 2454975.84476570 20.4 RE E  809
 21 57 46.6778 -13 30 12.922   17   97 2454975.87414178 20.2 RE E  809
 21 57 46.6919 -13 30 12.931   17   97 2454975.87529919 20.3 RE E  809
 21 57 46.7109 -13 30 12.908   17   97 2454975.87645534 20.2 RE E  809
 21 57 46.7257 -13 30 12.892   17   97 2454975.87761576 20.2 RE E  809
 21 57 46.7431 -13 30 12.810   17   97 2454975.87871918 18.7 RE E  809
 21 57 46.7890 -13 30 12.697   17   97 2454975.88185140 20.2 RE E  809
 21 57 46.8041 -13 30 12.699   17   97 2454975.88300789 20.1 RE E  809
 21 57 46.8402 -13 30 12.568   17   97 2454975.88528811 18.8 RE E  809
 21 57 46.8731 -13 30 12.476   17   97 2454975.88761313 21.2 RE E  809
 21 57 46.8899 -13 30 12.534   17   97 2454975.88876952 19.3 RE E  809
